Draw No,Draw Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Div1,Div2,Div3,Div4,Div5,Div6,Div7,Div1 No Win,Div2 No Win,Div3 No Win,Div4 No Win,Div5 No Win,Div6 No Win,Div7 No Win,Prize Payable,Rollover,Rollover Count,Next Estimated Jackpot,Next Guaranteed Jackpot,Total Sales,Draw Machine,Ball Set
925,2009/10/31,40,12,46,25,19,7,36,1580085,163024,3364,1059,84,67,10.5,1,3,123,284,5797,7229,106513,4873362.5,0,0,1000000,0,9760989,Dimakatso,37
924,2009/10/28,14,28,16,19,12,22,32,1008702,78054,2147,741,57,49,10.5,1,4,123,259,5420,6286,86478,3301891,0,0,1000000,0,6619383,Tsakani,29
923,2009/10/24,47,10,16,40,49,3,11,0,391983,7106,2319,141,99,10.5,0,2,100,259,5541,7892,102587,4734939.5,0,0,1000000,0,9481129,Dimakatso,39
922,2009/10/21,8,32,20,34,25,39,43,1079093,334005,4486,1260,105,62,10.5,1,1,63,163,3175,5349,63558,3233468,0,0,1000000,0,6473260,Tsakani,51
921,2009/10/17,33,8,20,31,28,15,17,0,0,11260,2324,185,108,10.5,0,0,78,332,5130,8783,97258,4568671,0,0,1000000,0,9139674,Mooinooi,35
920,2009/10/14,2,17,1,24,32,20,11,1116207,172746,3143,808,75,45,10.5,1,2,93,263,4566,7517,81743,3505518.5,0,0,1000000,0,7031877,Ndyebokazi,25
919,2009/10/10,16,25,20,1,28,27,32,1643499,254351,4782,1476,88,71,10.5,1,2,90,212,5751,7099,108040,5040030,0,0,1000000,0,10095030,Mapula,45
918,2009/10/07,15,31,8,34,26,25,5,0,996198,7463,2175,153,98,10.5,0,1,121,351,6511,10110,120014,5909756,0,0,1000000,0,11830558,Mapula,38
917,2009/10/03,19,6,43,39,31,9,36,0,206328,6449,2342,119,113,10.5,0,6,174,405,10347,10868,174632,7601617,0,0,1000000,0,15237117,Khensani,51
916,2009/09/30,47,48,46,16,19,27,1,0,726124,7566,2367,141,113,10.5,0,1,87,235,5131,6373,97834,4411488,0,0,1000000,0,8840728,Khensani,25
915,2009/09/26,48,3,27,49,25,40,12,1644158,127226,4101,807,101,60,10.5,1,4,105,388,5023,8464,100445,4966618.5,0,0,1000000,0,9938673,Khensani,45
914,2009/09/23,43,37,45,2,49,3,6,0,565133,8988,3701,171,137,10.5,0,1,57,117,3304,4124,68554,3360255,0,0,1000000,0,6721254,Ndyebokazi,24
913,2009/09/19,37,48,10,5,16,30,9,723662,63997,3132,1072,81,56,10.5,2,7,121,257,5513,7861,101114,4498245,0,0,1000000,0,9015415,Khensani,25
912,2009/09/16,25,3,43,36,21,24,14,0,145641,9265,2086,162,97,10.5,0,4,57,214,3576,5950,70362,3452336,0,0,1000000,0,6922144,Khensani,37
911,2009/09/12,44,18,32,5,26,9,45,0,748694,4465,2608,123,115,10.5,0,1,152,220,6040,6480,103347,4574397.5,0,0,1000000,0,9167434.5,Ndyebokazi,26
910,2009/09/09,1,25,21,44,42,49,2,0,306781,7040,3177,150,121,10.5,0,2,79,148,4088,5055,74425,3646235.5,0,0,1000000,0,7297165.5,Mapula,25
909,2009/09/05,49,8,39,2,20,24,5,0,181904,5806,1997,142,87,10.5,0,5,142,349,6389,10364,118763,5486842.5,0,0,1000000,0,10994221.5,Ndyebokazi,54
908,2009/09/02,4,37,8,43,11,32,20,0,336131,8583,2500,152,111,10.5,0,2,71,206,4416,6003,84503,4021501.5,0,0,1000000,0,8057398,Ndyebokazi,24
907,2009/08/29,42,18,39,22,35,11,20,0,426162,7884,2655,137,121,10.5,0,2,98,246,6203,7006,110170,5132408,0,0,1000000,0,10279215,Ndyebokazi,26
906,2009/08/26,32,22,28,29,42,21,13,1255717,388674,4385,842,84,51,10.5,1,1,75,284,4624,7615,83177,3862533.5,0,0,1000000,0,7726323,Khensani,35
905,2009/08/22,47,20,39,9,45,6,33,1535412,95049,3793,1366,106,70,10.5,1,5,106,214,4456,6780,87726,4573098,0,0,1000000,0,9153733,Ndyebokazi,54
904,2009/08/19,43,48,25,45,14,20,8,0,0,12351,4042,257,157,10.5,0,0,54,145,2795,4581,59369,3313950.5,0,0,1000000,0,6636330,Khensani,48
